no,file,time,size,f35,white_pct,yellow_pct,diag_px
F01,IMG_20260920_155603.jpg,2026:09:20 15:56:03,3072x4096,24,1.4,0.0,36838
F02,IMG_20260920_155606.jpg,2026:09:20 15:56:06,3072x4096,24,2.0,0.0,24364
F03,IMG_20260920_155609.jpg,2026:09:20 15:56:09,3072x4096,24,1.2,0.0,31017
F04,IMG_20260920_155613.jpg,2026:09:20 15:56:14,3072x4096,24,1.0,0.0,5055
F05,IMG_20260920_155731.jpg,2026:09:20 15:57:31,3072x4096,24,6.0,0.0,103421
F06,IMG_20260920_155732.jpg,2026:09:20 15:57:33,3072x4096,24,3.3,0.0,126868
F07,IMG_20260920_155735.jpg,2026:09:20 15:57:35,3072x4096,24,6.8,0.0,171758
F08,IMG_20260920_155736.jpg,2026:09:20 15:57:36,3072x4096,24,5.4,0.0,209241
F09,IMG_20260920_155801.jpg,2026:09:20 15:58:01,3072x4096,24,1.3,0.58,18500
F10,IMG_20260920_155802.jpg,2026:09:20 15:58:02,3072x4096,24,1.5,0.57,36546
F11,IMG_20260920_155803.jpg,2026:09:20 15:58:03,3072x4096,24,1.4,0.6,46091
F12,IMG_20260920_155804.jpg,2026:09:20 15:58:04,3072x4096,24,1.3,0.62,17616
F13,IMG_20260920_155825.jpg,2026:09:20 15:58:25,3072x4096,24,1.8,0.0,19604
F14,IMG_20260920_155826.jpg,2026:09:20 15:58:26,3072x4096,24,2.6,0.4,22827
F15,IMG_20260920_155828.jpg,2026:09:20 15:58:28,3072x4096,24,1.8,0.0,12872
F16,IMG_20260920_155830.jpg,2026:09:20 15:58:30,3072x4096,24,1.3,0.0,10493
F17,IMG_20260920_155843.jpg,2026:09:20 15:58:43,3072x4096,24,1.7,0.0,17906
F18,IMG_20260920_155844.jpg,2026:09:20 15:58:44,3072x4096,24,1.9,0.0,21544
F19,IMG_20260920_155845.jpg,2026:09:20 15:58:45,3072x4096,24,2.3,0.0,20145
F20,IMG_20260920_155847.jpg,2026:09:20 15:58:47,3072x4096,24,2.1,0.0,8514
F21,IMG_20260920_155927.jpg,2026:09:20 15:59:27,3072x4096,24,1.9,0.0,18833
F22,IMG_20260920_155928.jpg,2026:09:20 15:59:28,3072x4096,24,2.0,0.0,25147
F23,IMG_20260920_155929.jpg,2026:09:20 15:59:29,3072x4096,24,2.2,0.01,17984
F24,IMG_20260920_155930.jpg,2026:09:20 15:59:30,3072x4096,24,2.5,0.01,18193
F25,IMG_20260920_155931.jpg,2026:09:20 15:59:31,3072x4096,24,2.1,0.01,16039
F26,IMG_20260920_155957.jpg,2026:09:20 15:59:57,3072x4096,24,0.4,0.03,1589
F27,IMG_20260920_155958.jpg,2026:09:20 15:59:58,3072x4096,24,1.9,0.04,2042
F28,IMG_20260920_155959.jpg,2026:09:20 15:59:59,3072x4096,24,0.4,0.05,2601
F29,IMG_20260920_160000.jpg,2026:09:20 16:00:00,3072x4096,24,0.4,0.02,2636
F30,IMG_20260920_160015.jpg,2026:09:20 16:00:15,3072x4096,24,2.5,0.04,33800
F31,IMG_20260920_160016.jpg,2026:09:20 16:00:16,3072x4096,24,2.5,0.04,34200
F32,IMG_20260920_160017.jpg,2026:09:20 16:00:17,3072x4096,24,2.4,0.05,25060
F33,IMG_20260920_160018.jpg,2026:09:20 16:00:18,3072x4096,24,2.4,0.01,42712
F34,IMG_20260920_160046.jpg,2026:09:20 16:00:47,3072x4096,46,1.9,0.01,4004
F35,IMG_20260920_160047.jpg,2026:09:20 16:00:47,3072x4096,46,1.7,0.0,5807
F36,IMG_20260920_160049.jpg,2026:09:20 16:00:49,3072x4096,46,39.0,0.0,630790
F37,IMG_20260920_160101.jpg,2026:09:20 16:01:02,3072x4096,24,3.6,0.01,92456
F38,IMG_20260920_160102.jpg,2026:09:20 16:01:02,3072x4096,24,1.4,0.0,5557
F39,IMG_20260920_160103.jpg,2026:09:20 16:01:03,3072x4096,24,1.4,0.0,9887
F40,IMG_20260920_160105.jpg,2026:09:20 16:01:05,3072x4096,24,3.8,0.0,4167
F41,IMG_20260920_160106.jpg,2026:09:20 16:01:06,3072x4096,24,10.1,0.87,17686
F42,IMG_20260920_160107.jpg,2026:09:20 16:01:07,3072x4096,24,9.1,1.81,39490
